N;NOM;PRENOMS;niveau;FORMATION;DATE_INSCRIPTION;MONTANT_global;STATUT_DE_PAIEMENT;ANNEE_ACADEMIQUE
1;SALL;Ibrahima;L1;Comptabilité;30/09/2024;200000;Cas régulier;2024-2025
2;SALL;Ibrahima;L1;Hotellerie et Restauration;07/07/2024;40000;Boursière MDD;2024-2025
3;SALL;Khadija;L1;Comptabilité Gestion;14/07/2024;40000;Boursière MDD;2024-2025
4;SENE;Ibrahima;L1;Gestion des entreprises;05/11/2024;200000;Cas régulier;2024-2025
5;DIOP;Cheikh;L1;Gestion des entreprises;09/07/2024;125000;Cas régulier;2024-2025
6;DIALLO;Moussa;L1;Transport Logistique;23/03/2024;40000;Boursière MDD;2024-2025
7;SALL;Rokhaya;L1;Hotellerie et Restauration;16/03/2024;40000;Boursière MDD;2024-2025
8;NDIAYE;Ibrahima;L1;Hotellerie et Restauration;18/08/2024;40000;Boursière MDD;2024-2025
9;DIOP;Aissatou;L1;Commerce International;28/01/2024;40000;Boursière MDD;2024-2025
10;DIENG;Omar;L1;Commerce International;30/04/2024;40000;Boursière MDD;2024-2025
11;NDIAYE;Omar;L1;Hotellerie et Restauration;24/04/2024;200000;Cas régulier;2024-2025
12;NDIAYE;Omar;L1;Douane transit;15/03/2024;125000;Cas régulier;2024-2025
13;DIALLO;Cheikh;L1;Comptabilité et Gestion;22/12/2024;225000;Cas régulier;2024-2025
14;SALL;Mamadou;L1;Comptabilité;03/01/2024;125000;Cas régulier;2024-2025
15;DIALLO;Ibrahima;L1;Gestion des entreprises;17/03/2024;40000;Boursière MDD;2024-2025
16;NDIAYE;Khadija;L1;Comptabilité;01/05/2024;40000;Boursière MDD;2024-2025
17;NDIAYE;Fatou;L1;Hotellerie et Restauration;02/05/2024;40000;Boursière MDD;2024-2025
18;KANE;Cheikh;L1;Comptabilité et Gestion;02/02/2024;225000;Cas régulier;2024-2025
19;KANE;Rokhaya;L1;Gestion des entreprises;09/01/2024;150000;Cas régulier;2024-2025
20;DIALLO;Aissatou;L1;Gestion des entreprises;01/01/2024;40000;Boursière MDD;2024-2025
21;TOURE;Mamadou;L1;Hotellerie et Restauration;01/08/2024;125000;Cas régulier;2024-2025
22;DIENG;Omar;L1;Commerce International;04/02/2024;225000;Cas régulier;2024-2025
23;SALL;Fatou;L1;Hotellerie et Restauration;21/11/2024;40000;Boursière MDD;2024-2025
24;FALL;Khadija;L1;Transport Logistique;09/01/2024;40000;Boursière MDD;2024-2025
25;NDIAYE;Omar;L1;Transport Logistique;03/05/2024;200000;Cas régulier;2024-2025
26;SENE;Fatou;L1;Commerce International;29/06/2024;40000;Boursière MDD;2024-2025
27;SENE;Cheikh;L1;Gestion des entreprises;22/12/2024;40000;Boursière MDD;2024-2025
28;SENE;Aminata;L1;Commerce International;02/02/2024;40000;Boursière MDD;2024-2025
29;DIOP;Khadija;L1;Commerce International;13/04/2024;150000;Cas régulier;2024-2025
30;DIOP;Omar;L1;Gestion des entreprises;07/06/2024;40000;Boursière MDD;2024-2025
31;DIENG;Cheikh;L1;Commerce International;09/05/2024;150000;Cas régulier;2024-2025
32;DIALLO;Omar;L1;Transport Logistique;25/01/2024;40000;Boursière MDD;2024-2025
33;DIALLO;Moussa;L1;Comptabilité et Gestion;07/07/2024;40000;Boursière MDD;2024-2025
34;GUEYE;Cheikh;L1;Hotellerie et Restauration;16/07/2024;40000;Boursière MDD;2024-2025
35;SENE;Cheikh;L1;Comptabilité;20/12/2024;40000;Boursière MDD;2024-2025
36;FALL;Rokhaya;L1;Transport Logistique;16/05/2024;225000;Cas régulier;2024-2025
37;NDIAYE;Aissatou;L1;Transport Logistique;04/11/2024;200000;Cas régulier;2024-2025
38;FALL;Moussa;L1;Comptabilité;10/02/2024;40000;Boursière MDD;2024-2025
39;DIALLO;Khadija;L1;Douane transit;16/08/2024;40000;Boursière MDD;2024-2025
40;SENE;Cheikh;L1;Commerce International;28/06/2024;40000;Boursière MDD;2024-2025
41;DIOP;Omar;L1;Transport Logistique;10/11/2024;40000;Boursière MDD;2024-2025
42;DIALLO;Fatou;L1;Comptabilité et Gestion;08/02/2024;40000;Boursière MDD;2024-2025
43;FALL;Rokhaya;L1;Gestion des entreprises;13/12/2024;125000;Cas régulier;2024-2025
44;SENE;Mamadou;L1;Comptabilité;13/12/2024;40000;Boursière MDD;2024-2025
45;DIOP;Aminata;L1;Comptabilité;04/02/2024;200000;Cas régulier;2024-2025
46;FALL;Aissatou;L1;Comptabilité;17/10/2024;150000;Cas régulier;2024-2025
47;SALL;Omar;L1;Gestion des entreprises;09/07/2024;40000;Boursière MDD;2024-2025
48;NDIAYE;Mamadou;L1;Hotellerie et Restauration;11/03/2024;40000;Boursière MDD;2024-2025
49;GUEYE;Omar;L1;Hotellerie et Restauration;28/11/2024;40000;Boursière MDD;2024-2025
50;TOURE;Moussa;L1;Comptabilité Gestion;14/01/2024;225000;Cas régulier;2024-2025
51;DIENG;Aissatou;L1;Comptabilité Gestion;14/10/2024;200000;Cas régulier;2024-2025
52;DIALLO;Cheikh;L1;Comptabilité Gestion;19/04/2024;40000;Boursière MDD;2024-2025
