N;NOM;PRENOMS;niveau;FORMATION;DATE_INSCRIPTION;MONTANT_global;STATUT_DE_PAIEMENT;ANNEE_ACADEMIQUE
1;SALL;Ibrahima;L1;Douane transit;20/05/2022;40000;Boursière MDD;2022-2023
2;SALL;Fatou;L1;Comptabilité Gestion;19/07/2022;40000;Boursière MDD;2022-2023
3;GUEYE;Aminata;L1;Douane transit;28/08/2022;125000;Cas régulier;2022-2023
4;GUEYE;Mamadou;L1;Commerce International;16/10/2022;125000;Cas régulier;2022-2023
5;GUEYE;Aminata;L1;Comptabilité Gestion;25/08/2022;125000;Cas régulier;2022-2023
6;DIALLO;Aissatou;L1;Gestion des entreprises;17/06/2022;225000;Cas régulier;2022-2023
7;FALL;Omar;L1;Gestion des entreprises;14/07/2022;40000;Boursière MDD;2022-2023
8;GUEYE;Khadija;L1;Commerce International;11/02/2022;40000;Boursière MDD;2022-2023
9;DIOP;Rokhaya;L1;Douane transit;27/01/2022;40000;Boursière MDD;2022-2023
10;TOURE;Moussa;L1;Comptabilité;30/11/2022;125000;Cas régulier;2022-2023
11;TOURE;Ibrahima;L1;Hotellerie et Restauration;11/01/2022;150000;Cas régulier;2022-2023
12;SENE;Cheikh;L1;Transport Logistique;09/12/2022;150000;Cas régulier;2022-2023
13;SALL;Khadija;L1;Gestion des entreprises;08/07/2022;125000;Cas régulier;2022-2023
14;SENE;Khadija;L1;Douane transit;25/02/2022;200000;Cas régulier;2022-2023
15;KANE;Aissatou;L1;Douane transit;23/07/2022;125000;Cas régulier;2022-2023
16;KANE;Ibrahima;L1;Hotellerie et Restauration;22/02/2022;40000;Boursière MDD;2022-2023
17;KANE;Moussa;L1;Transport Logistique;17/10/2022;200000;Cas régulier;2022-2023
18;DIENG;Aissatou;L1;Gestion des entreprises;05/12/2022;40000;Boursière MDD;2022-2023
19;NDIAYE;Rokhaya;L1;Commerce International;28/11/2022;40000;Boursière MDD;2022-2023
20;DIOP;Aissatou;L1;Transport Logistique;08/09/2022;225000;Cas régulier;2022-2023
21;FALL;Cheikh;L1;Douane transit;29/12/2022;225000;Cas régulier;2022-2023
22;SENE;Rokhaya;L1;Douane transit;30/11/2022;40000;Boursière MDD;2022-2023
23;KANE;Rokhaya;L1;Comptabilité Gestion;05/09/2022;40000;Boursière MDD;2022-2023
24;GUEYE;Mamadou;L1;Hotellerie et Restauration;18/05/2022;40000;Boursière MDD;2022-2023
25;TOURE;Moussa;L1;Hotellerie et Restauration;23/05/2022;40000;Boursière MDD;2022-2023
26;TOURE;Cheikh;L1;Commerce International;19/10/2022;40000;Boursière MDD;2022-2023
27;FALL;Fatou;L1;Comptabilité et Gestion;11/09/2022;40000;Boursière MDD;2022-2023
28;SENE;Cheikh;L1;Gestion des entreprises;19/04/2022;40000;Boursière MDD;2022-2023
29;DIALLO;Omar;L1;Douane transit;24/05/2022;40000;Boursière MDD;2022-2023
30;DIENG;Fatou;L1;Hotellerie et Restauration;22/09/2022;125000;Cas régulier;2022-2023
31;TOURE;Aissatou;L1;Transport Logistique;08/09/2022;225000;Cas régulier;2022-2023
32;SALL;Cheikh;L1;Transport Logistique;09/01/2022;200000;Cas régulier;2022-2023
33;TOURE;Aissatou;L1;Douane transit;21/12/2022;200000;Cas régulier;2022-2023
34;KANE;Omar;L1;Commerce International;31/08/2022;40000;Boursière MDD;2022-2023
35;GUEYE;Rokhaya;L1;Commerce International;19/06/2022;40000;Boursière MDD;2022-2023
36;SALL;Khadija;L1;Gestion des entreprises;06/06/2022;40000;Boursière MDD;2022-2023
37;TOURE;Moussa;L1;Transport Logistique;09/04/2022;40000;Boursière MDD;2022-2023
38;NDIAYE;Rokhaya;L1;Transport Logistique;20/12/2022;150000;Cas régulier;2022-2023
39;TOURE;Cheikh;L1;Douane transit;22/05/2022;40000;Boursière MDD;2022-2023
40;NDIAYE;Ibrahima;L1;Douane transit;01/06/2022;200000;Cas régulier;2022-2023
41;SENE;Khadija;L1;Hotellerie et Restauration;08/01/2022;200000;Cas régulier;2022-2023
42;DIOP;Fatou;L1;Commerce International;11/10/2022;40000;Boursière MDD;2022-2023
43;SENE;Cheikh;L1;Comptabilité Gestion;22/02/2022;200000;Cas régulier;2022-2023
44;SALL;Cheikh;L1;Hotellerie et Restauration;14/08/2022;40000;Boursière MDD;2022-2023
45;SENE;Fatou;L1;Comptabilité;10/05/2022;40000;Boursière MDD;2022-2023
46;NDIAYE;Moussa;L1;Hotellerie et Restauration;25/07/2022;40000;Boursière MDD;2022-2023
47;NDIAYE;Mamadou;L1;Comptabilité et Gestion;19/11/2022;150000;Cas régulier;2022-2023
48;SENE;Mamadou;L1;Gestion des entreprises;05/06/2022;150000;Cas régulier;2022-2023
49;NDIAYE;Rokhaya;L1;Comptabilité et Gestion;02/08/2022;225000;Cas régulier;2022-2023
50;SALL;Cheikh;L1;Comptabilité et Gestion;02/06/2022;40000;Boursière MDD;2022-2023
51;DIALLO;Mamadou;L1;Comptabilité et Gestion;14/11/2022;125000;Cas régulier;2022-2023
52;TOURE;Ibrahima;L1;Comptabilité;16/05/2022;150000;Cas régulier;2022-2023
53;TOURE;Aminata;L1;Transport Logistique;10/10/2022;150000;Cas régulier;2022-2023
54;DIOP;Aissatou;L1;Transport Logistique;19/08/2022;40000;Boursière MDD;2022-2023
